School_code|AgeID|School_name|Street|Town_suburb|Postcode|Phone|School_Email|Fax|Student_number|Indigenous_pct|LBOTE_pct|ICSEA_value|Level_of_schooling|Selective_school|Opportunity_class|School_specialty_type|School_subtype|Support_classes|Preschool_ind|Distance_education|Intensive_english_centre|School_gender|Late_opening_school|Date_1st_teacher|LGA|Electorate|Fed_electorate|Operational_directorate|Principal_network|FACS_district|Local_health_district|AECG_region|ASGS_remoteness|Latitude|Longitude|Assets unit|Date_extracted
1001|4402|Abbotsford Public School|350 Great North Rd|Abbotsford |2046|9713 6220|abbotsford-p.school@det.nsw.edu.au|9712 1825|627.0|2.0|41.0|1117|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1925-04-01|Canada Bay (A)|Drummoyne|Reid|Ultimo|Strathfield|South Eastern Sydney, Northern Sydney & Sydney|Sydney|Metropolitan East|Major Cities of Australia|-33.852728|151.131206|Sydney|2017-11-03
1002|9333|Aberdeen Public School|Segenhoe St|Aberdeen|2336|6543 7271|aberdeen-p.school@det.nsw.edu.au|6543 7712|227.0|11.0|5.0|913|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1864-02-01|Upper Hunter Shire (A)|Upper Hunter|New England|Tamworth|Wollemi|Hunter New England & Central Coast|Hunter New England|Hunter|Inner Regional Australia|-32.166098|150.888095|Hunter/Central Coast|2017-11-03
1003|9299|Abermain Public School|Goulburn St|Abermain |2326|4930 4210|abermain-p.school@det.nsw.edu.au|4930 4319|264.0|24.0|np|901|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1905-08-01|Cessnock (C)|Cessnock|Paterson|Tamworth|Hunter|Hunter New England & Central Coast|Hunter New England|Hunter|Major Cities of Australia|-32.80892|151.426499|Hunter/Central Coast|2017-11-03
1007|10425|Adaminaby Public School|9 Cosgrove Street|Adaminaby|2629|6454 2265|adaminaby-p.school@det.nsw.edu.au|6454 2552|18.0|0.0|0.0|985|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1869-01-01|Snowy River (A)|Monaro|Eden-Monaro|Wagga Wagga|Queanbeyan|Illawarra Shoalhaven & Southern NSW|Southern NSW|Lower South Coast|Outer Regional Australia|-35.993292|148.776721|Southern NSW|2017-11-03
1008|9043|Adamstown Public School|Bryant St|Adamstown |2289|4957 1114|adamstown-p.school@det.nsw.edu.au|4956 2446|262.0|6.0|9.0|1027|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1877-07-01|Newcastle (C)|Newcastle|Newcastle|Tamworth|Newcastle|Hunter New England & Central Coast|Hunter New England|Hunter|Major Cities of Australia|-32.932213|151.730971|Hunter/Central Coast|2017-11-03
1009|10667|Adelong Public School|Gilmore St|Adelong |2729|6946 2053|adelong-p.school@det.nsw.edu.au|6946 2199|77.0|np|np|965|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1860-03-01|Tumut Shire (A)|Wagga Wagga|Eden-Monaro|Wagga Wagga|Cootamundra|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1|Inner Regional Australia|-35.312333|148.062802|Southern NSW|2017-11-03
1015|10020|Albion Park Public School|Tongarra & Hamilton Rds|Albion Park |2527|4256 1244|albionpk-p.school@det.nsw.edu.au|4256 4160|429.0|7.0|5.0|974|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1872-07-01|Shellharbour (C)|Kiama|Whitlam|Wagga Wagga|Wollongong|Illawarra Shoalhaven & Southern NSW|Illawarra Shoalhaven|Upper South Coast|Major Cities of Australia|-34.570257|150.77262|Southern NSW|2017-11-03
1016|9357|Timbumburi Public School|542 Kia Ora Lane|Timbumburi |2340|6767 0232|timbumburi-p.school@det.nsw.edu.au|6767 0245|146.0|14.0|np|984|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1911-02-01|Tamworth Regional (A)|Tamworth|New England|Tamworth|Tamworth|Hunter New England & Central Coast|Hunter New England|North Western 2|Outer Regional Australia|-31.203781|150.915629|North Western NSW|2017-11-03
1017|10441|Albury Public School|481 David St|Albury |2640|02 6021 3849|albury-p.school@det.nsw.edu.au|02 6041 1265|571.0|3.0|13.0|1045|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1850-07-01|Albury (C)|Albury|Farrer|Wagga Wagga|Albury|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1|Inner Regional Australia|-36.082454|146.919253|Southern NSW|2017-11-03
1019|10442|Albury West Public School|Mott St|Albury |2640|6021 2288|alburywest-p.school@det.nsw.edu.au|6041 3783|143.0|29.0|6.0|845|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1936-01-01|Albury (C)|Albury|Farrer|Wagga Wagga|Albury|Murrumbidgee, Far West & Western NSW|Murrumbidgee|Riverina 1|Inner Regional Australia|-36.07783|146.895548|Southern NSW|2017-11-03
1028|11109|Alma Public School|Comstock St|Broken Hill |2880|08 8088 2181|alma-p.school@det.nsw.edu.au|08 8087 3691|247.0|31.0|np|832|Primary School|Not Selective|N|Comprehensive|Kinder to Year 6||Y|N|N|Coed|Y|1889-01-01|Broken Hill (C)|Barwon|Parkes|Wagga Wagga|Far West|Murrumbidgee, Far West & Western NSW|Far West|Western 3|Outer Regional Australia|-31.982217|141.462443|North Western NSW|2017-11-03
1030|9761|Alstonville Public School|Main St|Alstonville |2477|6628 0775|alstonvill-p.school@det.nsw.edu.au|6628 5362|528.0|7.0|8.0|1015|Primary School|Not Selective|Y|Comprehensive|Kinder to Year 6||N|N|N|Coed|N|1875-01-01|Ballina (A)|Ballina|Page|Tamworth|Richmond Valley|Mid North Coast & Northern NSW|Northern NSW|Upper North Coast|Inner Regional Australia|-28.838471|153.438172|North Coast|2017-11-03
